path,path_decoded,type,action,destination_or_note,post_redesign,redirect_to
/exhibition/the-seedin-lab-ocean,/exhibition/the-seedin-lab-ocean,exhibition detail (ORPHAN DUP),301,/exhibitions/the-seedin-lab-ocean,,
/exhibition/untamed,/exhibition/untamed,exhibition detail (ORPHAN DUP),301,/exhibitions/untamed,,
/exhibition/will-looped,/exhibition/will-looped,exhibition detail (ORPHAN DUP),301,/exhibitions/will-looped,,
/color-of-water,/color-of-water,orphan / leftover,DECIDE,"keep+migrate, 301 to best match, or noindex",,
/essence,/essence,orphan / leftover,DECIDE,"keep+migrate, 301 to best match, or noindex",,
/infinite,/infinite,orphan / leftover,DECIDE,"keep+migrate, 301 to best match, or noindex",,
/porfoliotodate,/porfoliotodate,orphan / leftover,DECIDE,"keep+migrate, 301 to best match, or noindex",,
/portfolio,/portfolio,orphan / leftover,DECIDE,"keep+migrate, 301 to best match, or noindex",,
/price-list,/price-list,orphan / leftover,DECIDE,"keep+migrate, 301 to best match, or noindex",,
/single-project,/single-project,orphan / leftover,DECIDE,"keep+migrate, 301 to best match, or noindex",,
/副本-infinite,/副本-infinite,orphan / leftover,DECIDE,"keep+migrate, 301 to best match, or noindex",,
/about,/about,core page,KEEP,migrate 1:1,BUILT,
/artworks,/artworks,index (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/21g,/artworks/21g,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/an-unusual-knot,/artworks/an-unusual-knot,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/aquachroma,/artworks/aquachroma,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/artificial-phenomena,/artworks/artificial-phenomena,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/beingasawoman,/artworks/beingasawoman,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/biomimicry,/artworks/biomimicry,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/bloom,/artworks/bloom,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/debris,/artworks/debris,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/deja-vu,/artworks/deja-vu,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/dreamy-tide,/artworks/dreamy-tide,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/essence,/artworks/essence,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/gge-rof-doom-eht-ni,/artworks/gge-rof-doom-eht-ni,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/in-the-mood-for-egg,/artworks/in-the-mood-for-egg,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/indefinitepink,/artworks/indefinitepink,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/infinite,/artworks/infinite,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/inter-symbiosis,/artworks/inter-symbiosis,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/mystic,/artworks/mystic,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/untamed,/artworks/untamed,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/will-looped,/artworks/will-looped,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/artworks/wispsnwhispers,/artworks/wispsnwhispers,artwork detail (LIVE),KEEP,migrate 1:1,BUILT,
/blog,/blog,blog index,KEEP,migrate 1:1,BUILT,
/blog/categories/curator-s-pick,/blog/categories/curator-s-pick,blog category,KEEP,migrate 1:1,BUILT,
/contact,/contact,core page,KEEP,migrate 1:1,BUILT,
/exhibitions,/exhibitions,index (LIVE),KEEP,migrate 1:1,BUILT,
/exhibitions/airydisk,/exhibitions/airydisk,exhibition detail (LIVE),KEEP,migrate 1:1,BUILT,
/exhibitions/an-unusual-knot,/exhibitions/an-unusual-knot,exhibition detail (LIVE),KEEP,migrate 1:1,BUILT,
/exhibitions/artificial-phenomena,/exhibitions/artificial-phenomena,exhibition detail (LIVE),KEEP,migrate 1:1,BUILT,
/exhibitions/forestry-island-eco-art-festival,/exhibitions/forestry-island-eco-art-festival,exhibition detail (LIVE),KEEP,migrate 1:1,BUILT,
/exhibitions/in-the-mood-for-egg,/exhibitions/in-the-mood-for-egg,exhibition detail (LIVE),KEEP,migrate 1:1,BUILT,
/exhibitions/taipeidangdai2024,/exhibitions/taipeidangdai2024,exhibition detail (LIVE),KEEP,migrate 1:1,BUILT,
/exhibitions/taiwan-lantern-festival,/exhibitions/taiwan-lantern-festival,exhibition detail (LIVE),KEEP,migrate 1:1,BUILT,
/exhibitions/the-interval-between,/exhibitions/the-interval-between,exhibition detail (LIVE),KEEP,migrate 1:1,BUILT,
/exhibitions/the-miscellaneous-of-being-and-living,/exhibitions/the-miscellaneous-of-being-and-living,exhibition detail (LIVE),KEEP,migrate 1:1,BUILT,
/exhibitions/the-seedin-lab-ocean,/exhibitions/the-seedin-lab-ocean,exhibition detail (LIVE),KEEP,migrate 1:1,BUILT,
/exhibitions/untamed,/exhibitions/untamed,exhibition detail (LIVE),KEEP,migrate 1:1,BUILT,
/exhibitions/whennightfalls,/exhibitions/whennightfalls,exhibition detail (LIVE),KEEP,migrate 1:1,BUILT,
/exhibitions/will-looped,/exhibitions/will-looped,exhibition detail (LIVE),KEEP,migrate 1:1,BUILT,
/post/2021展覽推薦-非平凡紐結-！極簡幾何空間色彩繽紛碰撞，直覺創作啟發自由意象,/post/2021展覽推薦-非平凡紐結-！極簡幾何空間色彩繽紛碰撞，直覺創作啟發自由意象,blog post,KEEP,migrate 1:1,BUILT,
/post/asia-s-artists-to-watch-亞洲藝術新勢力，你不能不知道的藝術新星（上）-1,/post/asia-s-artists-to-watch-亞洲藝術新勢力，你不能不知道的藝術新星（上）-1,blog post,KEEP,migrate 1:1,BUILT,
/post/by-centering-taiwan-curator-gin-lin-encourages-collective-reflection-on-diasporic-experiences,/post/by-centering-taiwan-curator-gin-lin-encourages-collective-reflection-on-diasporic-experiences,blog post,KEEP,migrate 1:1,BUILT,
/post/harpersbazaar-untamed-2023,/post/harpersbazaar-untamed-2023,blog post,KEEP,migrate 1:1,BUILT,
/post/prestige202403,/post/prestige202403,blog post,KEEP,migrate 1:1,BUILT,
/post/taipei-dangdai-art-ideas-2024-台北當代-洪郁雯「indefinite-pink-不定的粉紅-」,/post/taipei-dangdai-art-ideas-2024-台北當代-洪郁雯「indefinite-pink-不定的粉紅-」,blog post,KEEP,migrate 1:1,BUILT,
/post/taiwan-s-emerging-artist-julia-hung-a-dynamic-perspective-on-multicultural-art,/post/taiwan-s-emerging-artist-julia-hung-a-dynamic-perspective-on-multicultural-art,blog post,KEEP,migrate 1:1,BUILT,
/post/voices-2024-news2-2,/post/voices-2024-news2-2,blog post,KEEP,migrate 1:1,BUILT,
/post/【gq-go-green】世界海洋日與永續藝術家-julia-hung-一起從有意識減塑消費開始改變世界,/post/【gq-go-green】世界海洋日與永續藝術家-julia-hung-一起從有意識減塑消費開始改變世界,blog post,KEEP,migrate 1:1,BUILT,
/post/人氣餐廳「the-seedin-lab」海洋系列啟動！專家預測-2050年台灣海裡將沒有魚，透過餐食、藝術喚醒大家對海洋的重視！,/post/人氣餐廳「the-seedin-lab」海洋系列啟動！專家預測-2050年台灣海裡將沒有魚，透過餐食、藝術喚醒大家對海洋的重視！,blog post,KEEP,migrate 1:1,BUILT,
/post/你的日常喜歡吃怎樣的蛋？-藝術家julia-hung-洪郁雯「蛋」櫥窗期間限定登場,/post/你的日常喜歡吃怎樣的蛋？-藝術家julia-hung-洪郁雯「蛋」櫥窗期間限定登場,blog post,KEEP,migrate 1:1,BUILT,
/post/創意多腦河第1068集-上-藝術家-洪郁雯,/post/創意多腦河第1068集-上-藝術家-洪郁雯,blog post,KEEP,migrate 1:1,BUILT,
/post/台灣燈會三大燈區都很「水」藝術燈區很「會」說故事,/post/台灣燈會三大燈區都很「水」藝術燈區很「會」說故事,blog post,KEEP,migrate 1:1,BUILT,
/post/廢棄物轉換新面貌-探討現今消費主義價值,/post/廢棄物轉換新面貌-探討現今消費主義價值,blog post,KEEP,migrate 1:1,BUILT,
/post/惟物專訪-will-looped-似識而非：藝術家-julia-hung-對自由意志的探索,/post/惟物專訪-will-looped-似識而非：藝術家-julia-hung-對自由意志的探索,blog post,KEEP,migrate 1:1,BUILT,
/post/編織。重塑-weaving-memories,/post/編織。重塑-weaving-memories,blog post,KEEP,migrate 1:1,BUILT,
/post/美女藝術家再出擊！「廢棄物」轉換神作品-全新個展曝光,/post/美女藝術家再出擊！「廢棄物」轉換神作品-全新個展曝光,blog post,KEEP,migrate 1:1,BUILT,
/artwork/lost-and-found,/artwork/lost-and-found,"artwork detail (ORPHAN, UNIQUE CONTENT)",KEEP+301,"rebuild at /artworks/lost-and-found, 301 old -> new",DROPPED BY 1A CUT,/exhibitions/the-miscellaneous-of-being-and-living/
/artwork/wonders-and-wonderers,/artwork/wonders-and-wonderers,"artwork detail (ORPHAN, UNIQUE CONTENT)",KEEP+301,"rebuild at /artworks/wonders-and-wonderers, 301 old -> new",DROPPED BY 1A CUT,/artworks/
